Date,.SP500
2020-09-28,3351.5996
2020-09-29,3335.4749
2020-09-30,3362.999
2020-10-01,3380.7986
2020-10-02,3348.4437
2020-10-05,3408.6268
2020-10-06,3360.9521
2020-10-07,3419.4493
2020-10-08,3446.8284
2020-10-09,3477.1343
2020-10-12,3534.216
2020-10-13,3511.9299
2020-10-14,3488.666
2020-10-15,3483.3414
2020-10-16,3483.8078
2020-10-19,3426.9241
2020-10-20,3443.1168
2020-10-21,3435.5555
2020-10-22,3453.4902
2020-10-23,3465.3872
2020-10-26,3400.9682
2020-10-27,3390.6844
2020-10-28,3271.0274
2020-10-29,3310.1128
2020-10-30,3269.9591
2020-11-02,3310.2414
2020-11-03,3369.1566
2020-11-04,3443.4371
2020-11-05,3510.4476
2020-11-06,3509.4365
2020-11-09,3550.4994
2020-11-10,3545.5331
2020-11-11,3572.6604
2020-11-12,3537.0095
2020-11-13,3585.1535
2020-11-16,3626.9076
2020-11-17,3609.5317
2020-11-18,3567.7891
2020-11-19,3581.8669
2020-11-20,3557.5438
2020-11-23,3577.5904
2020-11-24,3635.4063
2020-11-25,3629.646
2020-11-27,3638.3536
2020-11-30,3621.6334
2020-12-01,3662.4533
2020-12-02,3669.0056
2020-12-03,3666.7161
2020-12-04,3699.1214
2020-12-07,3691.9635
2020-12-08,3702.248
2020-12-09,3672.8197
2020-12-10,3668.1037
2020-12-11,3663.4579
2020-12-14,3647.4932
2020-12-15,3694.6221
2020-12-16,3701.1738
2020-12-17,3722.4822
